document,topic,gamma,document_number,year,StoreId,Title,Abstract,subjectTerms
1851,1,0.9997242932887278,1851,2010,718048030,The Latino Lag,"Ms. Segovia's story is the kind that offers valuable if humbling lessons to policy makers as they wrestle with what to do about an achievement gap that is often neglected in the public debates about education. Only 13 percent of Hispanic adults have received at least a bachelor's degree, compared with 31 percent of non-Hispanic whites, 18 percent of blacks and 50 percent of Asians, Census studies show.","Government aid , Community colleges , Education , Career advancement , Hispanic students , First generation students , United States--US"
7430,1,0.9996512585233389,7430,2016,1760228026,Transit ridership dips across region; The significant decline comes in spite of costly investments,"  [...]the question takes on new significance in Los Angeles County, where politicians and transportation officials are considering whether to seek another half-cent sales tax increase in November that could raise $120 billion for major transportation projects, including several new rail lines.","Light rail transportation , Mass transit , Traffic congestion , Buses , Transportation planning , Southern California , Los Angeles County California"
5431,1,0.9996324208539973,5431,2014,1519829941,Up in Years and All but Priced Out of New York,"  Of the 165,000 affordable housing units created or preserved under Mayor Michael R. Bloomberg, fewer than 10,000 were set aside for older residents, the Council of Senior Centers and Services said in a recent report urging Mr. Bloomberg's successor, Bill de Blasio, to increase those numbers. The city comptroller's office found the city to be ""woefully behind other areas of the country in providing viable subsidized and market-rate options suitable for and affordable to seniors"" in its own report on housing affordability released last week.","Older people , Affordable housing , Senior citizen centers , Aging , Population , Demographics , Rents , New York City New York"
729,1,0.999590244682163,729,2009,434014594,"For Catholic Schools, Crisis and Catharsis",NA,"Catholicism , Minority students , Elementary schools , Enrollments , Consolidation , Social conditions & trends , Education reform , Catholic schools , Brooklyn New York , United States--US"
418,1,0.9995137418921142,418,2008,422226928,1 in 4 quit high school in California; State officials release results of a new system that tracks dropouts. But the numbers tell only part of the story.,"Deploying a long-promised tool to track high school dropouts, the state released numbers Wednesday estimating that 1 in 4 California students -- and 1 in 3 in Los Angeles -- quit school. Jack O'Connell, state superintendent of public instruction, presented the new data, based on the 2006-07 school year, as a quantum leap forward in understanding the nature of the dropout problem.","School districts , Secondary school students , Secondary schools , Black students , Academic standards , School dropouts , Public schools , California , Los Angeles California"
578,1,0.9995123859629075,578,2008,433946250,"More Alzheimer's Risk Factors For Hispanics, Studies Suggest","Rather, experts say several factors, many linked to low income or cultural dislocation, may put Hispanics at greater risk for dementia, including higher rates of diabetes, obesity, cardiovascular disease, stroke and possibly hypertension. When Maria Contreras, a Salvadoran immigrant, began wandering and hallucinating, her daughter, Teresa Navas, took her into her home in Silver Spring, Md. The strain on Ms. Navas and her children compelled her to place her mother in a nursing home, but when she kept getting sick, Ms. Navas took her home again and quit her job teaching Spanish.","Support groups , Studies , Alzheimers disease , Risk factors , Hispanics"
276,1,0.9995040066180713,276,2008,433854963,"In City's Growing Neighborhoods, Public Schools Face Pupil Jam","A growing chorus of public officials and parents warns that similar problems could crop up in other neighborhoods across the city where, they say, a rise in residential development is not being accompanied by a similar rise in new public schools.","Elementary schools , School systems , Public officials , Preschool education , Parks & recreation areas , Neighborhoods , Public schools , New York City New York"
521,1,0.9995033692083078,521,2008,422230811,"In South L.A., a population shift; Latinos outnumber blacks 2 to 1. But poverty remains a constant.","A year after the 1992 riots, UCLA released a lengthy report describing the unrest as a ""predictable outcome"" of a festering crisis in a region where joblessness, hopelessness and a crippling lack of skills and education existed side by side with wealth, privilege and opportunity. (Foreclosures are much higher in the Antelope Valley.) Although property crime rates in South L.A. (27 offenses per 1,000) were roughly equal to the county rate, violent crime was twice as high.","Demographics , Hispanic Americans , Neighborhoods , Families & family life , Poverty , Social change , Los Angeles California"
566,1,0.9994978261016672,566,2008,433958077,"For Immigrants, Checking to See If the Doctor Is In or Not","Greenwich, chartered 105 years ago by wealthy local residents worried about handling epidemics, is a well-appointed hospital, with a grand piano in its lobby, patient rooms that feature premium movies and wireless Internet and a terrace cafe with waiter service.","Hospitals , Emergency medical care , Indigent care , Medicaid , Hospitalization"
8138,1,0.9994971790368449,8138,2016,1809235779,Reaching their STEM potential; Rigorous programs prepare minority students for college.,"  According to the program's internal data, 72% of students who attended the Summer Academy in 2012-2015 have graduated in STEM fields or are in college and on track to do so.","Secondary school students , Higher education , Low income groups , Core curriculum , Science , Secondary schools , Asian Americans , Workforce , Hispanic students , STEM education"
740,1,0.9994956857235494,740,2009,434007505,CUNY Plans Campus for New Approach to Community College,"With the state and city facing budget deficits and already beginning to chip away at higher education financing, CUNY is trying to raise money for the new college from a number of private groups including the Bill and Melinda Gates Foundation, which has promised to spend hundreds of millions of dollars through 2025 to double the number of people who earn a postsecondary degree or certificate by age 26.","College students , Fund raising , Colleges & universities , Community colleges , College campuses , Manhattan New York"
1731,1,0.9994921214940462,1731,2010,375561013,New York Charter Schools Lag in Enrolling Hispanics,"(Excluding high schools, blacks make up 62 percent of the charter schools' enrollment.) Lillian Rodriguez Lopez, the president of the Hispanic Federation, a network of social service organizations, has been supportive of Mayor Michael R. Bloomberg's changes in school governance, but she said the low enrollment of Latino students was a worrisome sign, particularly because the mayor and Chancellor Joel I. Klein praise the charter schools as beacons of success.","Hispanic students , Black students , Enrollments , Demographics , Charter schools , New York City New York"
9512,1,0.9994807366023248,9512,2017,1912417771,"At UC Riverside, black students narrow the gap; Many say financial aid and mentoring help raise graduation rates.",NA,"Asian Americans , African Americans , Colleges & universities , House arrest , Graduations & commencements , California , Illinois , Washington DC"
31,1,0.9994745980442913,31,2008,433764206,Urban Schools Aiming Higher Than Diploma,"''This is transformational change,'' said Dan Challener, the president of the Public Education Foundation, a Chattanooga group that is working with the area public schools. ''It's about the purpose of high school. It's about reinventing what high schools do.'' ''We don't know yet how to get everyone in our society to this level of knowledge and skills,'' said Michele Cahill, a vice president at the Carnegie Corporation, which, along with the Bill and Melinda Gates Foundation, is financing many of the new efforts. ''We've never done it before.'' ''For a long time we believed in the 'some kids' agenda,'' Dr. [John Deasy] said. ''Some kids will go to college, some kids will go to the work force, some kids can go to the military. That's garbage. We believe that every kid can learn at a high level and that college is for every child.''","Urban schools , Academic achievement , SAT assessment , College admissions , Low income groups , High school graduates , United States , US"
3728,1,0.9994699832026822,3728,2012,1027479335,"Enrollment Off In Big Districts, Forcing Layoffs","Enrollment in the New York City schools, the largest district in the country, was flat from 2005 to 2010, but both Chicago and Los Angeles lost students, with declining birthrates and competition from charter schools cited as among the reasons. Because school financing is often allocated on a per-pupil basis, plummeting enrollment can mean fewer teachers will be needed.","Public schools , School districts , Enrollments , Students , Recessions , School closures , Layoffs , Charter schools , Cleveland Ohio , Detroit Michigan , Broward County Florida , San Bernardino California , Tucson Arizona , Philadelphia Pennsylvania , Columbus Ohio"
656,1,0.9994691563723506,656,2008,422250521,"Local suburbs more diverse; Integration along class lines has become a norm in the 5-county Los Angeles area, new census data show.","The integration of Southern California's suburban communities continued apace into the second half of the decade, driven by steadily growing numbers of Latinos and Asians moving into middle-class neighborhoods, according to detailed census data released Monday. Dowell Myers, USC professor of urban planning and demography, said the growing diversity in Southern California's sprawling suburbs reflects a broad breakdown of past housing discrimination.","Asian Americans , Hispanic Americans , Social integration , Minority & ethnic groups , Suburban areas , Census of Population , Southern California"
2275,1,0.9994568974884259,2275,2010,817583167,"In New York, Black and Hispanic Strongholds Become More White","Based on samples taken from 2005 to 2009, the five-year American Community Survey is separate from the 2009 survey, which probably better reflects the full impact of the recession, and from the 2010 Census, which is supposed to count people at every address. Since 2000, decades of white flight eased and the proportion of non-Hispanic white New Yorkers increased slightly, to 35.5 percent.","Hispanic Americans , Demographics , Census of Population , Asian Americans , Gentrification , Income inequality , Social conditions & trends -- New York City New York , New York City New York"
3313,1,0.9994512004904643,3313,2012,920764180,Suburban Schools Lag as Bilingual Needs Grow,"52 percent -- now live in Chicago's suburbs, the 2010 Census showed, while 38 percent live in the city. Since 2005, about 25 percent of suburban school districts have seen the number of English-language learners double -- in Plainfield School District 202, they have more than tripled, to about 2,082 in 2011 from about 674 in 2005.","School districts , School boards , Hispanics , Learning , Teaching , Reading , Multicultural education , School superintendents , Bilingualism , Statistical data"
1435,1,0.9994361382589495,1435,2010,434288471,"For the Census, Knowing Where to Look In New York Is Half the Battle","Dozens of city workers have fanned out across the city, tallying mailboxes and doorbells on hundreds of homes where multiple families might be living or where tenants might be squirreled away in illegally converted attics and basements.","Apartment buildings , Households , Federal municipal relations , Questionnaires , Census of Population , New York City New York"
1740,1,0.9994334511082004,1740,2010,502570759,DuPage Struggles to Handle Increased Need for Public Aid,"The sharp increase in the need for services has strained the social infrastructure in suburban areas like DuPage County, which for a long time served chiefly as bedroom communities for prosperous commuters and their families. Candace King, executive director of the DuPage Federation on Human Services Reform, said cities provided more programs to address poverty, like health clinics and food pantries.","Suburban areas , Mass transit , DuPage County Illinois"
4683,1,0.9994333914472654,4683,2013,1372562354,Working to Combat The Stigma of Autism,"  [...]inspired by a 2011 study of a South Korean city that found relatively high rates of autism, a leading advocacy group is teaming with churches, doctors, schools and news organizations in Flushing, trying gingerly to bring Korean parents around to the idea that if there is something unusual about their child, concealing it and avoiding help are absolutely the wrong things to do. [...]autism itself is being redefined: the newest edition of the country's manual for mental disorders, released weeks ago, collapsed some categories of autism, including Asperger syndrome, under the umbrella of ""autism spectrum disorder.""","Autism , Mental disorders , Families & family life , Asian Americans , Asian culture , Studies , Queens New York"
1061,1,0.999418589637689,1061,2009,422245694,"California; Inland Empire immigrants struggle; Jobs lured them to the area, and the downturn has hit them hard.","Joblessness among Latinos across California has surpassed all other ethnic groups, including blacks, for the first time since the economic downturn began, according to new data released by the Economic Policy Institute in Washington, D.C. And UC Riverside professor Vanessa Estrada Correa said her research shows that Latinos tend to have more subprime mortgages than those in other ethnic groups and are overrepresented in neighborhoods with high foreclosure rates. Because they are choosing areas with less established immigrant networks,"" Bohn said, ""they don't have the institutions or organizations to fall back upon.","Unemployment , Recessions , Economic conditions -- Inland Empire , Aliens , Inland Empire , California"
7336,1,0.9994137285576528,7336,2016,1752761660,"In China, many set sights on U.S. degree","  Santa Monica College, home to the most international students of any community college campus in the nation, has more than 1,000 Chinese students -- up from roughly 200 six years ago, said Denise Kinsella, associate dean for international education. NAFSA, an international education professional organization, estimated the total of almost 1 million foreign students in the U.S. contributed $30.5 billion to the U.S. economy last year.","Foreign students , College students , College campuses , Community colleges , China , United States--US"
496,1,0.9994099479474478,496,2008,422179470,"Poverty down in L.A., up in U.S.; Federal census data reflect this decade's economic boom but not this year's downturn.","Poverty across Southern California declined significantly during the first seven years of the decade, a period marked by a booming economy, gentrifying neighborhoods and soaring housing prices, according to census data released Tuesday. Marianne Haver Hill, executive director of MEND, the largest charitable group in the San Fernando Valley, said the decrease in poverty rates also may be a product of federal efforts to encourage welfare recipients to find jobs.","Research , Poverty , Economic conditions -- Southern California , Southern California , Los Angeles County California"
659,1,0.9994097583942697,659,2008,422223552,Recession may set mood for baby bust; Some couples make the painful decision to delay having children.,"Once hopeful about their ability to provide for children, prospective parents are now filled with gnawing doubts as jobs vanish, retirement savings dwindle and housing prices fall -- even as the cost of having and raising a child rises. With the country in a recession since December 2007, accompanied by a stock market plunge and growing numbers of people losing their jobs and homes, 8 in 10 Americans say they are anxious about the economy, a recent survey by the American Psychological Assn. showed.","Unemployment , Families & family life , Layoffs , Couples , Social impact , Economic conditions -- United States--US , Children & youth , Recessions , United States--US"
3517,1,0.9993988498669247,3517,2012,1011020397,COMMUNICATION; Language interpreter services are thriving,"According to the U.S. Census Bureau, more than 2,600 translation and interpreting companies make up what is estimated to be a $3-billion industry. ""Consumers, whether in China or the U.S. or Mexico, want to have access to the same products and the same companies."" Besides the explosion of international transactions, interpreting companies have also seen demand surge with other economic trends, such as the increase in home foreclosures during the recent recession.","Interpreters , Banking , Customer services , United States--US"
1256,1,0.9993915054281468,1256,2009,434225066,Korean Hospitals Learn to Say 'Push' in 4 Languages,"According to the Education Ministry, the dropout rate of mixed-background children from elementary school is 15.4 percent, 22 times the national average.","Families & family life , Ethnicity , Bilingualism , Childbirth & labor , Multiculturalism & pluralism , South Korea"
4091,1,0.9993853282174351,4091,2012,1185545703,The Cost of Dropping Out; Millions Struggle With High College Debt and No Degree,"  According to a 2011 study by the Institute for Higher Education Policy, a Washington, D.C.-based research firm, 58% of the 1.8 million borrowers whose student loans were began to be due in 2005 hadn't received a degree. According to the U.S. Department of Labor, 34 million Americans over 25 years old have some college credits but haven't received a diploma, a rate that grew by roughly 700,000 people over the past three years.","Higher education , Student loans , College graduates , Colleges & universities"
1329,1,0.9993851983928905,1329,2010,434252569,"In Harlem, Blacks Are No Longer A Majority","By 2008, their share had declined to 4 in 10 residents. Since 2000, central Harlem's population has grown more than in any other decade since the 1940s, to 126,000 from 109,000, but its black population -- about 77,000 in central Harlem and about twice that in greater Harlem -- is smaller than at any time since the 1920s.","Population growth , African Americans , Whites , Demographics , Hispanics , Harlem-New York City NY"
2052,1,0.9993798583458073,2052,2010,752088896,"NOW ARRIVING; Amid Joblessness, Mexican Workers Are a Steady Force","98 percent -- though some analysts believe that the census underestimates employment rates for populations with high numbers of illegal immigrants, like Mexicans, because those without papers fear revealing their employment status. A major reason the job rates for Mexican New Yorkers are so high is the disproportionate number of men and younger people among them, said Laird W. Bergad, director of the Center for Latin American, Caribbean and Latino Studies at the City University of New York Graduate Center.","Restaurants , Wages & salaries , Unemployment benefits , Foreign labor , Aliens , Unemployment , New York , New York City New York , Mexico"
6411,2,0.9996731808065753,6411,2015,1664898339,"REVIEW --- A Reformation for Islam --- Violent acts committed in the name of Islam cannot be divorced from the religion itself, writes author and activist Ayaan Hirsi Ali; Muslims must reject aspects of their tradition that prompt some believers to resort to oppression and holy war","  According to the International Institute for Strategic Studies, at least 70% of all the fatalities in armed conflicts around the world last year were in wars involving Muslims. What I do say is that the call to violence and the justification for it are explicitly stated in the sacred texts of Islam. [...]this theologically sanctioned violence is there to be activated by any number of offenses, including but not limited to apostasy, adultery, blasphemy and even something as vague as threats to family honor or to the honor of Islam itself.","Islam , Muslims , Religion , Violence , Islam , Violence"
6410,2,0.9996692115927295,6410,2015,1664792787,"Why Islam Needs a Reformation; To defeat the extremists for good, Muslims must reject those aspects of their tradition that prompt some believers to resort to oppression and holy war",NA,NA
4556,2,0.9996651029065986,4556,2013,1352808045,REVIEW --- Swearing in The Enemy,"  Ayaan Hirsi Ali, herself a new citizen, asks how we might change the process of becoming an American to exclude those who hate America.] On April 25, 2013, I took the oath to become a citizen of the United States.","Aliens , Reforms , Citizenship , Anti-Americanism , Immigration policy , United States--US"
5347,2,0.9996608929643552,5347,2014,1509178635,REVIEW --- The Case For Nationalism,"  Incessant ""antifascist"" propaganda from Moscow, baseless claims of attacks against Russians in Ukraine, incitement of Russian-speakers in eastern Ukraine, Russian troops without insignia seizing official buildings in Crimea, a stage-managed illegal plebiscite there and then its annexation by Russia, assurances from President Vladimir Putin that he has no further territorial designs in Europe (though, alas, he may be forced to intervene elsewhere to protect ethnic Russians) -- yes, it all has the disturbing ring of the 1930s. World War II began as the result of a conspiracy by Hitler and Stalin -- the Nazi-Soviet Pact -- to invade Poland and divide Eastern Europe and the Baltic states between them.","Nationalism , Murders & murder attempts , Nationalism , Russia , Crimea , Eastern Europe , Russia , Ukraine , Yanukovich, Viktor"
6934,2,0.9996606585487969,6934,2015,1711181857,REVIEW --- A Crisis of Two Civilizations --- Where to find the roots of today's humanitarian disaster? In the Middle East's failure to come to terms with modernity and in Europe's failure to recognize and defend its ideals,"  Parents are entrusting their lives and the lives of their young children to rickety boats and unscrupulous criminal syndicates along the Mediterranean coast, professionals and business people are giving up their livelihoods and investments, farmers are abandoning their land, and from North Africa to Syria, the sick and the old are on the road, carrying a few treasured belongings on a new trail of tears.","Islamism , Migration , Refugees , Syria , Europe , Middle East"
4553,2,0.9996596246975082,4553,2013,1352773625,"Swearing In the Enemy; One of the suspected Boston bombers was a naturalized citizen, and the other was on his way. Ayaan Hirsi Ali, herself a new citizen, asks how we might change the process of becoming an American to exclude those who hate America.",NA,NA
4557,2,0.9996596246975082,4557,2013,1352848726,"Swearing In the Enemy; One of the suspected Boston bombers was a naturalized citizen, and the other was on his way. Ayaan Hirsi Ali, herself a new citizen, asks how we might change the process of becoming an American to exclude those who hate America.",NA,NA
5346,2,0.9996569485627416,5346,2014,1509130989,The Case for Nationalism,"  Incessant ""antifascist"" propaganda from Moscow, baseless claims of attacks against Russians in Ukraine, incitement of Russian-speakers in eastern Ukraine, Russian troops without insignia seizing official buildings in Crimea, a stage-managed illegal plebiscite there and then its annexation by Russia, assurances from President Vladimir Putin that he has no further territorial designs in Europe (though, alas, he may be forced to intervene elsewhere to protect ethnic Russians)--yes, it all has the disturbing ring of the 1930s. World War II began as the result of a conspiracy by Hitler and Stalin--the Nazi-Soviet Pact--to invade Poland and divide Eastern Europe and the Baltic states between them.","Nationalism , Murders & murder attempts , Russia , Crimea , Eastern Europe , Yanukovich, Viktor"
6928,2,0.9996567071296766,6928,2015,1711131917,The Roots of the Migration Crisis; The Syrian refugee disaster is a result of the Middle East's failure to grapple with modernity and Europe's failure to defend its ideals,"  Parents are entrusting their lives and the lives of their young children to rickety boats and unscrupulous criminal syndicates along the Mediterranean coast, professionals and business people are giving up their livelihoods and investments, farmers are abandoning their land, and from North Africa to Syria, the sick and the old are on the road, carrying a few treasured belongings on a new trail of tears.","Arabs , Violence , Islamism , Europe , Syria , North Africa"
6253,2,0.9996466738346267,6253,2015,1645432664,French Jews Face Hate They Left Africa to Escape; France Was Supposed to Be a Safe Haven for Jews Fleeing North Africa Decades Ago,NA,NA
6257,2,0.9996414372472009,6257,2015,1645789544,Europe's Anti-Immigrant Parties Stand to Gain Ground in Wake of Paris Attacks; Paris Attacks Stir European Political Waters,NA,NA
6262,2,0.9996388770265245,6262,2015,1645828487,Europe on Edge: Paris Attacks Stir Political Waters,"  The profile of the people that carried out the attacks can reassure the thinking of people who are tempted by the National Front,"" says Yves-Marie Cann, head of opinion polling at survey company CSA. Since the attacks, the party has sought to fuse concerns over terrorism and security with its traditional hobbyhorses: border security, austerity and Brussels. Opinion polls last fall showed Ms. Le Pen in a position to get into the second round of a presidential election and even become president if she were to face current President Francois Hollande of the Socialist Party in a runoff.","Multiculturalism & pluralism , Muslims , National identity , Political parties , Aliens , Terrorism , Islamism , Europe , France , Germany"
7155,2,0.9996387386168069,7155,2015,1732912544,"REVIEW --- The End of 'One China' --- After a historic surprise meeting with the leader of Taiwan, Xi Jinping could go down in history for recognizing the island democracy -- or choose conflict instead","  The Kuomintang is in disarray, and the likely victor in presidential elections in January, Tsai Ing-wen of the Democratic Progressive Party, can't bring herself to utter the ""One China"" mantra. Right now, tensions with the U.S. are bubbling over artificial islands, fit for military use, that China has created in the South China Sea; a few weeks ago, the U.S. Navy sent a guided-missile destroyer churning through seas close to one of them, just to remind Beijing that Washington still rules the waves and that Mr. Xi can't claim no-go zones amid the world's busiest maritime thoroughfares.","Reunification , China , Taiwan , Xi Jinping , Ma Ying-jeou"
7152,2,0.9996361386675614,7152,2015,1732853781,"The End of 'One China'; After a historic surprise meeting with the leader of Taiwan, Xi Jinping could go down in history for recognizing the island democracy--or choose conflict instead","  The Kuomintang is in disarray, and the likely victor in presidential elections in January, Tsai Ing-wen of the Democratic Progressive Party , can't bring herself to utter the ""One China"" mantra. Right now, tensions with the U.S. are bubbling over artificial islands, fit for military use, that China has created in the South China Sea; a few weeks ago, the U.S. Navy sent a guided-missile destroyer churning through seas close to one of them, just to remind Beijing that Washington still rules the waves and that Mr. Xi can't claim no-go zones amid the world's busiest maritime thoroughfares.","Presidential elections , United States--US , China , Beijing China"
7161,2,0.9996361386675614,7161,2015,1733070494,"The End of 'One China'; After a historic surprise meeting with the leader of Taiwan, Xi Jinping could go down in history for recognizing the island democracy--or choose conflict instead","  The Kuomintang is in disarray, and the likely victor in presidential elections in January, Tsai Ing-wen of the Democratic Progressive Party , can't bring herself to utter the ""One China"" mantra. Right now, tensions with the U.S. are bubbling over artificial islands, fit for military use, that China has created in the South China Sea; a few weeks ago, the U.S. Navy sent a guided-missile destroyer churning through seas close to one of them, just to remind Beijing that Washington still rules the waves and that Mr. Xi can't claim no-go zones amid the world's busiest maritime thoroughfares.","Presidential elections , United States--US , China , Beijing China"
3174,2,0.9996343207247653,3174,2011,907892145,An 'Arab Winter' Chills Christians,"Hanging on the wall in his parents' home here in northern Iraq are photographs of his cousin Yonan, his cousin's spouse and their three-month-old son, who were among some 50 worshippers killed by suicide bombers in a Baghdad church in October 2010. Christian leaders such as Archbishop Sako say Iraqi Christians are caught in the middle as more powerful groups--the majority Shiite Muslims; the Sunni Muslims that dominate in Mosul and further south; and the Kurds in the north, who are predominantly Muslim--jockey for power in post-Hussein Iraq.","Iraq War-2003 , Muslims , Suicide bombings , Violence , Murders & murder attempts"
7059,2,0.9995714721919223,7059,2015,1722613212,Hungary Seals Border With Croatia,"  [...]the migrant flow shifted west, into Croatia, and until now people had been allowed to register and cross the Hungarian border on their way to Austria and beyond.","Political asylum , Boundaries , Humanitarian aid , Refugees , Slovenia , Serbia , Europe , Hungary , Croatia , Germany , Austria , Central Europe"
9429,2,0.9995443602353813,9429,2017,1902609194,The Weekend Interview with Pierre Manent: How Nationalism Can Solve the Crisis of Islam,"  For decades, the West has seen itself as an empire of rights and liberal norms. Since rights were universal, the empire would soon encompass the planet. Islam instead rests on a political geography that divides the world, Mr. Manent has written, between the ""house of submission,"" where the faith reigns, and the ""house of war,"" where it doesn't.","Politics , Muslims , Islam , Islam , Nationalism , Europe , France , Macron, Emmanuel , Manent, Pierre"
9542,2,0.9995431748335123,9542,2017,1915053501,Fight for Assad or Get Deported,NA,"War , Refugees , Shrines , Deportation , Militia groups , Iran , Muhammad (prophet) , Pakistan , Syria , Iraq , Afghanistan"
6940,2,0.9995414182113675,6940,2015,1711253163,Eastern Europe Balking at Aid for Migrants,"  ""By toughening up their rhetoric and showing a strong hand toward the Roma minority, facing down the E.U. and refusing a common solution to the refugee crisis, they are trying to outbid the far right and keep the traditional political parties in power,"" said Zuzana Kusá, a senior research fellow at the Institute for Sociology of the Slovak Academy of Sciences.","Multiculturalism & pluralism , Human rights , Politics , Refugees , Communism , Germany , Poland , Hungary , Slovakia , Eastern Europe , Duda, Andrzej , Fico, Robert , Walesa, Lech"
9427,2,0.9995372071924853,9427,2017,1902534444,How Nationalism Can Solve the Crisis of Islam; Transnational liberalism breeds resentments and anxieties that are only beginning to surface across the developed world.,NA,"Muslims , Liberalism , Politics , Christianity , France , Europe"
6358,2,0.9995189847144472,6358,2015,1656246710,"After Deadly Attacks, Danes Weigh Islam's Place in a Tangle of Motives","  Danish Islamic organizations, including the mosque that rallied hostility toward Denmark across the Muslim world over the 2005 publication of newspaper cartoons here lampooning the Prophet Muhammad, condemned Mr. Hussein's weekend attacks on a Copenhagen cafe and on a synagogue.","Terrorism , Islam , Denmark , el-Hussein, Omar Abdel Hamid"
6992,2,0.999515035403437,6992,2015,1715824467,Europe's Old Communist Bloc Softens Opposition to Refugee Quotas,"  [...]its prime minister, Viktor Orban, whom critics have accused of being authoritarian, continued to take an especially hard line on Wednesday, contending that forcing a country to accept refugees amounted to ""moral imperialism.""","Quotas , Prosperity , Prime ministers , Germany , Poland , Czech Republic"
3450,2,0.9995090724197282,3450,2012,992838286,Turkey Raises Cry Over Syria Exodus; U.N.'s Ban Calls on Damascus to Halt Attacks Immediately; Alarm in Ankara Over Arrival of Thousands of New Refugees,"[...] in recent days, Ankara has said the government could be forced to act to prevent a humanitarian disaster in the event of a flood of refugees, massacres of civilians by Syrian troops near its border or an incident creating a ""risk to national security.""","Civilians , Bans , Massacres , Ban Ki Moon , Davutoglu, Ahmet"
6268,2,0.999501324634879,6268,2015,1646103727,How did homegrown plotters elude France?,"  ""How do they give their domestic intelligence and law enforcement communities a bit more leeway?"" Since last week's attacks, the French have bolstered police presence on the streets, deployed thousands of troops and conducted a series of high-profile anti-terrorism sweeps in a bid to both allay public concern and wipe out remnants of the cell whose acts stunned the continent.","Surveillance , Criminal investigations , Law enforcement , France"
6681,2,0.9994999406690798,6681,2015,1690306785,Both Sides in Gaza War Are Faulted by U.N. Panel,"  [...]it also has Eritrea, Sri Lanka, Syria and other countries on its agenda.) The reaction to the report embodied Israel's mounting attacks on the United Nations in recent months, with the Israeli ambassador to the United Nations, Ron Prosor, saying that ""the U.N. has been taken hostage by terrorist organizations, and in this battle the international community will lose.""","War crimes , Palestinians , Casualties , International law , Israel , Gaza Strip , Schabas, William , Netanyahu, Benjamin"
6241,2,0.9994992101866047,6241,2015,1644570087,"Fear on Rise, Jews in France Weigh an Exit","  French Jews, already feeling under siege by anti-Semitism, say the trauma of the terrorist attacks last week has left them scared, angry, unsure of their future in France and increasingly willing to consider conflict-torn Israel as a safer refuge. The French authorities said Monday that thousands of police officers and soldiers would be deployed to protect Jewish schools and other ""sensitive sites,"" in one of the country's biggest peacetime security operations.","Jews , Anti-Semitism , Terrorism , Emigration , France , Israel"
6522,2,0.9994962703063675,6522,2015,1677604408,Unease grows in Latvia; Russia's moves in Ukraine have its fellow former Soviet republic worried about Putin's goals.,"  When the People's Republic of Latgale was proclaimed on the Internet in late January, security officials in this small former Soviet republic took notice. [...]the furtive creators of the website declared independence on behalf of the country's Russian-speaking eastern enclave, authorities here had dismissed the threat of aggression by Moscow as all but unthinkable, thanks to the collective security shield wielded by a member of NATO.","Alliances , Citizenship , Estonia , Russia , Crimea , Ukraine"
